lambda_um,neff
1.45,2.8255832055645915
1.46,2.8185744261597665
1.47,2.811584949173577
1.48,2.8046143131505326
1.49,2.7976620734061712
1.5,2.790727801235348
1.51,2.7838110831621723
1.52,2.7769115202290955
1.53,2.7700287273242243
1.54,2.763162332542528
1.55,2.756311976581742
1.56,2.749477312168262
1.57,2.742658003513327
1.58,2.7358537257970696
1.59,2.7290641646786575
1.6,2.722289015831802
1.61,2.7155279845037152
1.62,2.708780785096419
1.6300000000000001,2.7020471407691766
1.6400000000000001,2.695326783061006
1.6500000000000001,2.6886194515322175
